"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Arable land (% of land area)","average_value_CO2 emissions (kg per 2010 US$ of GDP)","average_value_CO2 emissions (kg per 2017 PPP $ of GDP)","average_value_CO2 emissions (kt)","average_value_CO2 emissions (metric tons per capita)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from gaseous fuel consumption (kt)","average_value_CO2 emissions from liquid fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_CO2 emissions from solid fuel consumption (% of total)","average_value_CO2 emissions from solid fuel consumption (kt)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area where elevation is below 5 meters (% of total land area)","average_value_Marine protected areas (% of territorial waters)","average_value_Methane emissions (% change from 1990)","average_value_Methane emissions (kt of CO2 equivalent)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Nitrous oxide emissions (% change from 1990)","average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Other greenhouse gas emissions (% change from 1990)","average_value_Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","average_value_Population growth (annual %)","average_value_Population in urban agglomerations of more than 1 million (% of total population)","average_value_Population living in areas where elevation is below 5 meters (% of total population)","average_value_Population, total","average_value_Primary completion rate, total (% of relevant age group)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Terrestrial and marine protected areas (% of total territorial area)","average_value_Terrestrial protected areas (% of total land area)","average_value_Total greenhouse gas emissions (kt of CO2 equivalent)","average_value_Urban land area where elevation is below 5 meters (% of total land area)","average_value_Urban land area where elevation is below 5 meters (sq. km)","average_value_Urban population","average_value_Urban population (% of total population)","average_value_Urban population growth (annual %)","average_value_Urban population living in areas where elevation is below 5 meters (% of total population)"
"Africa Eastern and Southern","AFE","1987","","44.5133089272854","5428670","15.4682032673454","","","5.74878946204499","0.993841050933236","","388106.04757928","1.39014163585078","0.0784769655573318","","18.177590466502","73479.5157227703","79.6405561207189","444287.261377669","","0.156769393088639","","","","","","376226.647","183.560533538606","","267243.990962","","1294200.33425357","3.00109538804205","10.0428295606503","","279184536","","","","","","","","","","1928433.868902","","","65511328","23.4652429697467","5.03007549234356",""
"Albania","ALB","1977","","40.4744525547445","11090","","","","21.1678832116788","","","5720.52","2.27587639136105","12.2435897435897","700.397","51.5384615384615","2948.268","29.7435897435897","1701.488","","","","","","","","2002.1","","","1007.1559","","237.31301269531","2.21325217885547","","","2513546","","","","","","","","","","8948.9809","","","832109","33.105","2.81002499777185",""
"Albania","ALB","2019","100","","","18.4633799189155","","","","","","","","","","","","","","","7.85669257172221","28.7919708029197","7889","","","","","9.7","","","","","-0.426007367032238","","","2854191","103.322746276855","","","","","","1.018630027771","","","","","","1747593","61.229","1.07141354924368",""
"Armenia","ARM","2020","","","","11.7173127255744","","","","","","","","","","","","","","","","11.5374077976818","3284.7","","","","","","","","","","0.185983344838062","36.658427920306","","2963234","","","","","","","","","","","","","1876112","63.313","0.334547576037799",""
"Azerbaijan","AZE","2013","100","57.7045451795933","47698","5.3662644804235","","","23.2920795073737","0.557208653154942","0.227494100672951","31390","3.33340377480633","63.5037018158649","19933.812","37.9783912073909","11921.417","0.0350461930551131","11.001","","3.53193139888625","12.8205035144388","10597.3","","","","47740","30.4","","3520","","1679.1552734375","1.29344702700591","22.8835248828132","","9416801","88.0894088745117","6.67123404984157","2.52589988708496","","","","","","","83030","","","5098727","54.145","1.7785151839915",""
"Azerbaijan","AZE","2015","100","57.7017529003303","47698","6.17763883780802","","","23.4409590747977","0.549743768634747","0.224446378458062","32170","3.33390642946498","68.2333291886851","21950.662","36.0886602424619","11609.722","0.0341964563257693","11.001","","7.62633633321074","13.0395336486699","10778.8697","","","","45430","26.3","","4010","","-1162.8311767578","1.19120985807018","22.8649811422355","","9649341","103.280212402344","7.0398574206092","2.31220006942749","","","","","","","82030","","","5279540","54.714","1.72630914534638",""
"Burkina Faso","BFA","1993","6.1","34.7222222222222","95000","30.2310515664871","","","12.5365497076023","0.161980655837253","0.0611392820697396","620","0.0649046587203125","0","0","101.138225806452","627.057","0","0","","0.0993388144361863","27.6555921052632","75665.7","","","6.799794422892","7670","197.4","3.11997403095625","5200","1.48769885299771e-12","-271.839430809021","2.70964746722937","6.40379721565295","","9552473","26.2448806762695","21.8604651162791","93.4799927628475","","","","","","","13520","","","1393992","14.593","4.52828155799903",""
"Bulgaria","BGR","1989","","55.7534122751514","61680","10.9418583498403","","","34.7826086956522","1.91775287850161","","86739.218","9.77126186722229","12.7166652574617","11030.336","39.9171387503171","34623.814","44.5125560158958","38609.843","","0","","","","","","15762.4","17.9","","10067.25","","8.52343749999454","-1.17003859875014","13.4189451087601","","8876972","101.428230285645","","","","","","0.990260004997253","","","116317.9","","","5861908","66.035","-0.64927961471818",""
"Belarus","BLR","1963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01618823177623","7.65899290193751","","8437232","","","","","","","","","","","","","3022385","35.822","4.30511265634932",""
"Brunei Darussalam","BRN","1984","","2.27703984819734","120","1.0658734585115","","","0.569259962049336","0.197581212473017","","1917.841","8.79033899237313","57.17017208413","1096.433","34.225621414914","656.393","0","0","","0.02114990394745","","","","","","3454.88","15.5","","481.1944","","8878.96324310303","2.83715214920658","","","218176","57.2123794555664","","","","","","1.00146996974945","","","15831.9244","","","143010","65.548","3.06444903317599",""
