"Country Name","Country Code","Year","average_value_Automated teller machines (ATMs) (per 100,000 adults)","average_value_Bank liquid reserves to bank assets ratio (%)","average_value_Borrowers from commercial banks (per 1,000 adults)","average_value_Broad money (% of GDP)","average_value_Broad money (current LCU)","average_value_Broad money growth (annual %)","average_value_Broad money to total reserves ratio","average_value_Claims on central government (annual growth as % of broad money)","average_value_Claims on central government, etc. (% GDP)","average_value_Claims on private sector (annual growth as % of broad money)","average_value_Commercial bank branches (per 100,000 adults)","average_value_Consumer price index (2010 = 100)","average_value_DEC alternative conversion factor (LCU per US$)","average_value_Deposit interest rate (%)","average_value_Depositors with commercial banks (per 1,000 adults)","average_value_Depth of credit information index (0=low to 8=high)","average_value_Domestic credit provided by financial sector (% of GDP)","average_value_Domestic credit to private sector (% of GDP)","average_value_Domestic credit to private sector by banks (% of GDP)","average_value_Foreign direct investment, net (BoP, current US$)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_Foreign direct investment, net outflows (% of GDP)","average_value_Foreign direct investment, net outflows (BoP, current US$)","average_value_GDP deflator: linked series (base year varies by country)","average_value_Inflation, GDP deflator: linked series (annual %)","average_value_Inflation, consumer prices (annual %)","average_value_Interest rate spread (lending rate minus deposit rate, %)","average_value_International migrant stock (% of population)","average_value_International migrant stock, total","average_value_Lending interest rate (%)","average_value_Monetary Sector credit to private sector (% GDP)","average_value_Net domestic credit (current LCU)","average_value_Net foreign assets (current LCU)","average_value_Net migration","average_value_Official exchange rate (LCU per US$, period average)","average_value_Personal remittances, paid (current US$)","average_value_Personal remittances, received (% of GDP)","average_value_Personal remittances, received (current US$)","average_value_Personal transfers, receipts (BoP, current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Portfolio investment, net (BoP, current US$)","average_value_Private credit bureau coverage (% of adults)","average_value_Public credit registry coverage (% of adults)","average_value_Real interest rate (%)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Total reserves minus gold (current US$)"
"Africa Eastern and Southern","AFE","1987","","","","38.9872315250936","","","","","11.875005102389","","","","","","","","","44.8554988133008","30.314890630146","","0.156769393088639","279804684.153772","0.12085001810445","195226684.383463","","","12.5634432211069","","","","","31.809425394261","","","-147864","","1281708229.6026","0.952205419379962","1416188048.26552","157413805.01321","-616488998.199647","","","","","","6.85446444408373","","6.07409825755261",""
"Albania","ALB","1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-99","","","","","","","","","","","","","","",""
"Albania","ALB","2019","29.9884542330379","15.2155347268185","141.41","78.5268812800047","1318660000000","4.31363862893848","3.18947426974427","2.98307927191033","26.0267637100197","2.43487615988862","18.71","119.049258384382","109.8508","0.4925","1094.85","6","61.8842031525103","34.3841597169607","31.5826152964756","-1161045288.11878","7.85669257172221","1201022154.46645","0.261515533003658","39976866.3476732","108.704990943482","0.477277009414109","1.41109078954248","5.78333333333333","","","6.27583333333333","31.7100533972288","950360000000","691446538021.481","","109.850833333333","119679640.769481","9.63465407791954","1472812241.61039","1104611729.694","6989376.12121213","154704213.093615","0","56.2","5.77101260753307","8","39.0993011784814","3763661058.67744","5.9445968324759","3626591058.67744"
"Armenia","ARM","2020","65.5179219437296","18.2787559703546","","54.3689883925743","3362038024575.73","8.96376550160701","2.62860940250048","9.90021525096248","10.5182427451468","17.0693460068357","24.55","130.740891696593","489.0089","8.11789155473093","","","83.3792503378657","72.1714386000838","69.0444030283441","-144575321.976849","","","-0.215720668233613","-27278869.1166219","116.484381220847","1.87745778397905","1.21143577838465","3.50195095111197","","","11.6198425058429","72.0148052411563","5184433141048.83","-506549919129.572","","489.008858590915","304558693.787094","10.4932027260169","1326913670.91081","940454143.121154","775768.399887115","49195422.7813895","","","9.56284631927271","","","2615530571.20173","5.54627963938074","2615530571.20173"
"Azerbaijan","AZE","2015","36.1991631194219","12.8222476938676","","39.2035490126885","21318889953.1","-1.14870182940285","2.84272666936036","-8.227988717594","-12.9996498887643","13.2929863048444","10.66","117.733333333333","1.0246","8.99833333333333","","6","","","38.4189142414491","-838252000","7.62633633321074","4047630000","6.04694501434351","3209378000","183.620063817933","-8.8096155262962","4.02768573742728","8.53583333333337","2.70906158396255","264241","17.5341666666667","38.5207861386723","22112201663.6","10705102925.3467","","1.02456381855059","1293019000","2.39280087237955","1269964000","1182496000","24495000","-1080758000","0","33.6","28.88877193029","2","54.9552920848402","7319394112.32726","4.04153394191402","6291165248.52726"
"Azerbaijan","AZE","2013","33.2417150309373","7.22302184857268","237.37","33.1542970168781","19289833090.36","14.9894846184655","1.62027120134812","-16.228344264322","-7.20655535631295","22.7904152804195","10.2","111.641666666667","0.7845","9.89166666666667","542.1","6","","","25.1239702392321","-1141550000","3.53193139888625","2619437000","1.99271656440136","1477887000","204.073615500363","0.413164057278365","2.41571745279411","8.31833333333333","","","18.21","25.2116030261249","13443972641.54","9968211136.58301","","0.784541075268817","1902602000","2.33692601835619","1733168000","1613468000","29847000","-718509000","0","23","17.7236083633117","2","143.53036082242","15175667724.097","7.38780893512986","14400553978.867"
"Burkina Faso","BFA","1993","","","","19.8654620062825","179978900000","7.96950343803204","","3.09656844689257","-1.73567229296763","-5.11541493345299","","49.5002913626491","283.1626","","","","","9.7738383449955","9.67428967465989","","0.0993388144361863","3178381.3563","0.0485656426149135","1553875.3298","44.5331494029402","-1.44183978328999","0.553455723541917","","","","","9.7738383449955","74065900000","102641931839.142","","283.162579500018","61805484.77","3.66373135819041","117222412.1","","","","","","","","","","",""
"Bulgaria","BGR","1989","","","","","","","","","","","","0.0285352570495715","0.0018","","","","","","","0","0","0","0.0100223038253931","2203748.7087","0.0670859113511356","","6.38888888888879","","","","","","","","","","","","","0","0","0","","","","","","","",""
"Brunei Darussalam","BRN","1984","","","","","","","","","","","","70.6719554002196","2.1331","","","","","","","","0.02114990394745","800000","","","","","3.07396733909727","","","","","","","","","2.133083333","","","","","","","","","","","","","",""
"Central African Republic","CAF","1992","","","","15.3166917743891","57242000000","-3.34335213265341","2.08281335998859","6.55668501570362","7.86999997324221","-15.9923677011921","","47.8290150793453","264.6918","7.5","","","","4.50761660374127","4.50761660374127","16532435.0342213","-0.756175025884516","-10676567.963142","0.414745679448337","5855867.07107931","70.0001311133962","2.78264702243938","-1.03360811667775","","","","","4.50761660374127","50517000000","12628494410.3276","50000","264.691800750579","34591173.4856788","0.0106489757138617","150354.7579","0","0","0","","","","","12.7573443597529","103830263.763413","3.42403531899899","100122524.263413"
