"Country Name","Country Code","Year","average_value_Age dependency ratio (% of working-age population)","average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)","average_value_Population ages 15-64 (% of total population)","average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)","average_value_Population ages 65 and above (% of total population)","average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)","average_value_Population growth (annual %)","average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total","average_value_Sex ratio at birth (male births per female births)"
"Africa Eastern and Southern","AFE","1987","95.7082984062134","5.88213370964518","89.4807853285405","10.3076089855814","10.4875559268427","51.186786931301","72392618","51.5066171825712","70513156","50.8626666762634","142905592","8.59474934347188","8.66346255777613","7.19963554686537","7.16722926869544","5.98589364633107","5.91076069663017","4.93459354618531","4.86170221104345","4.06177369958345","3.97207798972","3.37281887864309","3.24073850680215","2.85902936590993","2.69530644958824","2.34762836129723","2.18398493343184","1.84288580870248","1.67984813573327","3.01087522424363","4563402","3.24681473529976","3842419","2.77162015186642","8405898","1.37836044191922","1.22636698390469","0.938719859346787","0.813180771935549","0.556702803076223","0.458477288916981","0.37303163095753","0.273595107109204","3.00109538804205","140550131","50.3430931824447","138634405","49.6569068175553","279184536","1.03059954122192"
"Albania","ALB","1977","75.336069181666","9.18420518443957","66.1518639972265","11.2593926845763","11.0746373941884","57.0333328701287","690454","56.4410301340897","743108","57.5951530864809","1433559","9.27305046984837","9.05315640314836","7.18449104722467","7.17863595861591","5.98170532239209","6.30723726548191","5.51777135487155","5.98106219989109","4.64823167493459","5.15096715509133","3.90130369768506","4.40146836790258","3.36501006264373","3.33786074946785","2.84943723431072","2.69548846591753","2.46063658560263","2.4146391267759","5.23805080825907","70624","5.77311042966306","61034","4.73050529676749","131661","2.14346140260283","1.91334896787288","1.52583452233238","1.29240198505025","1.07878719649933","0.846028661947428","1.02502730822853","0.678725681896936","2.21325217885547","1223320","48.6690872419536","1290226","51.3309127580464","2513546","1.074"
"Albania","ALB","2019","46.2035217630944","20.7647356526265","25.438786110468","6.93749080705565","7.48910031122489","68.3978052821376","955875","68.2274871864499","996330","68.5620591974966","1952204","8.08576027064028","8.26146981323098","8.13278571671023","8.95270949730192","6.88643460846543","8.08802926127551","5.2853065634794","5.90352369297477","5.61710113935938","5.19401275578902","6.53597128407046","5.61595598536936","6.90390120271998","6.23336071748757","7.32005872169987","6.78722512160951","6.52267687224919","6.03667204123304","14.2026306207364","210750","15.0426976907324","194613","13.3922149462941","405370","4.97635291854768","4.55676871525138","3.83069990835342","3.49833138462692","3.10113370218255","2.77034466537359","3.13451116164873","2.56677018104221","-0.426007367032238","1401011","49.0861056894117","1453180","50.9138943105883","2854191","1.084"
"Armenia","ARM","2020","48.4455278492478","17.5208498649418","30.924677984306","5.04916574651462","6.54573606257089","67.3647756866379","1066362","67.9433470936682","929814","66.7132557056625","1996176","5.32466978063533","6.6674224231514","7.72093046963753","7.981936463361","8.98159717155988","9.05659348504427","8.18394800339219","7.77156829754611","6.61706659564558","6.23534974425057","5.68478744965712","5.24535658193345","5.91620064390466","5.05120369765818","7.27250369069639","6.1171073372714","7.19247754202488","6.04098161287522","11.8028794803531","213227","13.5857767538055","136519","9.79510628543057","349747","4.888794873739","3.91692322925179","3.22060647842257","2.42483033147336","1.68558261393691","1.14403833694351","3.79079278770707","2.30931438776191","0.185983344838062","1569487","52.9653412454096","1393747","47.0346587545904","2963234",""
"Azerbaijan","AZE","2013","39.5168026701505","7.94781069405483","31.5689919760957","8.04654383149194","8.79439335118743","71.6759569155209","3433875","72.4656034690844","3315721","70.8764002627715","6749582","9.87238664707402","10.0530454314507","9.76586221060968","9.75752406325474","8.07483177566136","8.18201062195462","6.91237936335187","6.72400654826795","6.93982036308508","6.45902603414785","7.43369483745019","6.86618022921511","7.11327458362094","6.59695316375581","5.1518571374125","4.69492710837521","3.15495271932685","2.74833371116202","5.69666850923151","315724","6.6627636643898","220725","4.71819735182485","536444","1.77320521887162","1.43098056516451","1.73221310815904","1.28044246491287","1.78567647569481","1.23094226041354","1.37166886166433","0.775832061333927","1.29344702700591","4738628","50.3209909533537","4678173","49.6790090466463","9416801","1.151"
"Azerbaijan","AZE","2015","40.0764593805005","8.03552232847629","32.0409370520242","7.05752810996916","7.92659433105851","71.3895878982556","3496370","72.1259319998974","3392252","70.6461692805261","6888625","9.09224802802019","9.45901159712838","9.85963012087969","9.77443310689561","8.58058411808463","8.66726267632562","7.00581354458251","6.91189519585725","6.70119406862895","6.28506177178594","6.97346091247662","6.37974669798328","7.33118090416919","6.73708101032617","5.75270756778538","5.20938337224938","3.77158462530108","3.29569952091599","5.7365232062161","326774","6.74095222649821","226763","4.72250988981339","553537","2.06748626668002","1.66385681734601","1.42748749128092","1.0715852708346","1.75707475940316","1.16015138728871","1.48890370913412","0.826916414344077","1.19120985807018","4847591","50.2375362695515","4801750","49.7624637304485","9649341","1.138"
"Burkina Faso","BFA","1993","102.003909613657","6.40412818660581","95.5997814270513","10.4796003296419","11.2016528992804","49.5039924727369","2476914","50.7770365845158","2251966","48.1760325753623","4728856","8.5578574913592","8.95681270086575","7.07241872727049","7.12374260688898","5.7398288649903","5.46635082222455","4.69555270376095","4.16654098351187","3.84137416410757","3.21718926257254","3.27446381933653","2.674002712189","2.83432622252471","2.2041937313307","2.3456853395435","1.75051498004151","1.93592892198064","1.41503187645699","3.17029846502624","176258","3.61331031853088","126582","2.70795320864281","302842","1.54616012234472","1.15136466234659","1.0944194570748","0.833102825079212","0.628513208227928","0.475028842946972","0.344217530883432","0.248456878270035","2.70964746722937","4878020","51.065519892074","4674453","48.934480107926","9552473",""
"Bulgaria","BGR","1989","50.3597160077943","19.1969645436585","31.1627514641358","6.90804276337687","7.43258585236083","66.5071806902198","2966261","65.9720058757483","2937561","67.0564289945457","5903824","6.42056423160389","6.84527774722202","6.52929220309497","6.84671253900982","6.87032081408405","7.12376400089185","7.14768808829599","7.3034773659318","7.09889363741662","7.21429253036008","5.91759751123892","5.93990135464842","6.08020130207293","5.99654146855722","6.64316811119543","6.45014064375691","6.35623721336866","5.90373549180677","12.7673561116816","633868","14.0977353516795","499485","11.4018576226502","1133355","5.49362499056951","4.77300569065752","2.93561085149534","2.44301769963704","3.08514509636849","2.42566355134653","2.58335441324617","1.76017068100912","-1.17003859875014","4496242","50.6506235824033","4380730","49.3493764175967","8876972",""
"Belarus","BLR","1963","62.3637448282498","13.3129029154238","49.0508419128259","5.81824528204548","7.02569107780255","61.5901021153317","2912785","63.3079521119247","2283717","59.5298583050581","5196500","6.63992070609336","7.55029700462522","8.4639000879214","9.43184849012227","8.13258678808089","8.71722595231444","7.98504128793325","7.29674844375685","5.41538745237591","4.17949658367669","4.81357041011327","3.47137731632934","6.24795151919617","4.53183166587197","5.35036293646499","4.13605368383943","4.44098564169999","3.1892880867194","8.19943016532388","448473","9.7473329959903","243330","6.34290033751184","691805","3.03380418663924","2.28496488628887","2.65048444581528","1.82820887030293","2.13147377560395","1.24646894793671","1.93157058793183","0.983257632983324","1.01618823177623","4600978","54.5318409719567","3836254","45.4681590280433","8437232",""
"Brunei Darussalam","BRN","1984","69.9256201565481","4.74161766423926","65.1840024923089","10.1118237292094","9.15399610136452","58.8490890340323","59196","57.6111181399694","69196","59.9488845570717","128395","9.69138986481883","9.63482781026641","10.1896818522447","10.6917912064111","8.54395577658612","9.15746155512237","5.76052787807418","6.32965128871562","3.74205603838406","4.56746805284817","3.43840935854639","3.63526099198614","2.86420570116106","2.82694390296729","1.90265788167512","2.31319038336582","1.3664100592695","1.63829326402426","2.79042053397502","2794","2.71919494700782","3297","2.85640025990903","6088","0.959601366410059","1.17132337015378","0.84184095531917","0.826510721247563","0.473961323977382","0.497292614251678","0.443791301301204","0.36127355425601","2.83715214920658","102751","47.095464212379","115425","52.904535787621","218176",""
